date,value
2000-01-01,10031.0
2000-04-01,10278.3
2000-07-01,10357.4
2000-10-01,10472.3
2001-01-01,10508.1
2001-04-01,10638.4
2001-07-01,10639.5
2001-10-01,10701.3
2002-01-01,10834.4
2002-04-01,10934.8
2002-07-01,11037.1
2002-10-01,11103.8
2003-01-01,11230.1
2003-04-01,11370.7
2003-07-01,11625.1
2003-10-01,11816.8
2004-01-01,11988.4
2004-04-01,12181.4
2004-07-01,12367.7
2004-10-01,12562.2
2005-01-01,12813.7
2005-04-01,12974.1
2005-07-01,13205.4
2005-10-01,13381.6
2006-01-01,13648.9
2006-04-01,13799.8
2006-07-01,13908.5
2006-10-01,14066.4
2007-01-01,14233.2
2007-04-01,14422.3
2007-07-01,14569.7
2007-10-01,14685.3
2008-01-01,14668.4
2008-04-01,14813.0
2008-07-01,14843.0
2008-10-01,14549.9
2009-01-01,14383.9
2009-04-01,14340.4
2009-07-01,14384.1
2009-10-01,14566.5
2010-01-01,14681.1
2010-04-01,14888.6
2010-07-01,15057.7
2010-10-01,15230.2
2011-01-01,15238.4
2011-04-01,15460.9
2011-07-01,15587.1
2011-10-01,15785.3
2012-01-01,15973.9
2012-04-01,16121.9
2012-07-01,16227.9
2012-10-01,16297.3
2013-01-01,16440.7
2013-04-01,16526.8
2013-07-01,16727.5
2013-10-01,16957.6
2014-01-01,16984.3
2014-04-01,17270.0
2014-07-01,17522.1
2014-10-01,17615.9
2015-01-01,17649.3
2015-04-01,17913.7
2015-07-01,18060.2
2015-10-01,18148.4
